code,name,ex_date,dividend_per_share,pre_ex_close,ex_date_close,pre_ex_yield,days,actual_days,holder_return,entrant_return,market_return,excess_holder,excess_entrant,filled,partial
600760,中航沈飞,2023-06-27,0.4,59.18,42.35,0.006759040216289288,5,5,-0.22034471105103073,0.08004722550177101,0.013933411399964513,-0.23427812245099525,0.0661138141018065,False,False
600760,中航沈飞,2023-06-27,0.4,59.18,42.35,0.006759040216289288,20,20,-0.2473808719161879,0.04226682408500593,0.018120716184627295,-0.2655015881008152,0.024146107900378633,False,False
600760,中航沈飞,2023-06-27,0.4,59.18,42.35,0.006759040216289288,60,60,-0.27154444068942213,0.008500590318772039,-0.03248814892887231,-0.23905629176054982,0.040988739247644346,False,False
600760,中航沈飞,2023-06-27,0.4,59.18,42.35,0.006759040216289288,120,120,-0.3205474822575194,-0.05997638724911447,-0.14248876524438214,-0.17805871701313725,0.08251237799526767,False,False
600760,中航沈飞,2024-06-20,0.4,40.96,40.22,0.009765625,5,5,-0.05078125000000013,-0.04326205867727506,-0.014033697544188595,-0.03674755245581154,-0.029228361133086467,False,False
600760,中航沈飞,2024-06-20,0.4,40.96,40.22,0.009765625,20,20,0.035156249999999944,0.044256588761810045,0.0050378473671259805,0.030118402632873964,0.039218741394684065,True,False
600760,中航沈飞,2024-06-20,0.4,40.96,40.22,0.009765625,60,60,-0.0021972656250000833,0.006215813028344064,-0.09442773947401328,0.0922304738490132,0.10064355250235735,True,False
600760,中航沈飞,2024-06-20,0.4,40.96,40.22,0.009765625,120,120,0.2167968749999999,0.22923918448533076,0.11662207038999428,0.10017480461000561,0.11261711409533648,True,False
600760,中航沈飞,2025-05-21,0.26,47.68,47.99,0.005453020134228188,5,5,-0.003565436241610774,-0.015419879141487902,-0.020463790422841854,0.01689835418123108,0.005043911281353952,True,False
600760,中航沈飞,2025-05-21,0.26,47.68,47.99,0.005453020134228188,20,20,0.1268875838926174,0.11419045634507174,-0.018713705331529273,0.14560128922414667,0.13290416167660102,True,False
600760,中航沈飞,2025-05-21,0.26,47.68,47.99,0.005453020134228188,60,60,0.26069630872483224,0.24713481975411544,0.06560444451139968,0.19509186421343255,0.18153037524271576,True,False
600760,中航沈飞,2025-05-21,0.26,47.68,47.99,0.005453020134228188,120,120,0.24370805369127513,0.2302563033965408,0.18173895747119606,0.06196909622007907,0.048517345925344735,True,False
600754,锦江酒店,2021-06-18,0.057999999999999996,59.76,57.73,0.0009705488621151271,5,5,-0.08955823293172685,-0.058548415035510004,0.02694814624928399,-0.11650637918101084,-0.08549656128479399,False,False
600754,锦江酒店,2021-06-18,0.057999999999999996,59.76,57.73,0.0009705488621151271,20,20,-0.14544846050870147,-0.11640394941971244,-0.00150770235411668,-0.1439407581545848,-0.11489624706559576,False,False
600754,锦江酒店,2021-06-18,0.057999999999999996,59.76,57.73,0.0009705488621151271,60,60,-0.17925033467202137,-0.15139442231075684,-0.017431571322572337,-0.16181876334944903,-0.1339628509881845,False,False
600754,锦江酒店,2021-06-18,0.057999999999999996,59.76,57.73,0.0009705488621151271,120,120,-0.07684069611780453,-0.04538368266066162,-0.01034225411791101,-0.06649844199989352,-0.03504142854275061,True,False
600754,锦江酒店,2022-07-08,0.053000000000000005,60.24,59.62,0.0008798140770252325,5,5,0.030096281540504567,0.039919490103992095,-0.04070059007207627,0.07079687161258083,0.08062008017606836,True,False
600754,锦江酒店,2022-07-08,0.053000000000000005,60.24,59.62,0.0008798140770252325,20,20,-0.0029382470119523026,0.006541429050654246,-0.061387095004246106,0.0584488479922938,0.06792852405490035,True,False
600754,锦江酒店,2022-07-08,0.053000000000000005,60.24,59.62,0.0008798140770252325,60,60,-0.0612051792828686,-0.05233143240523308,-0.15982817845361963,0.09862299917075103,0.10749674604838655,True,False
600754,锦江酒店,2022-07-08,0.053000000000000005,60.24,59.62,0.0008798140770252325,120,120,-0.04012284196547147,-0.03102985575310291,-0.12212886570819381,0.08200602374272234,0.0910990099550909,True,False
600754,锦江酒店,2023-06-21,0.06,47.05,47.14,0.0012752391073326248,5,5,-0.09883103081827825,-0.10182435299109027,-0.005584839877102454,-0.0932461909411758,-0.09623951311398782,True,False
600754,锦江酒店,2023-06-21,0.06,47.05,47.14,0.0012752391073326248,20,20,-0.04420828905419763,-0.04730589732711077,-0.010901048438522354,-0.033307240615675276,-0.036404848888588415,True,False
600754,锦江酒店,2023-06-21,0.06,47.05,47.14,0.0012752391073326248,60,60,-0.17832093517534525,-0.18116249469664825,-0.040179532674677665,-0.1381414025006676,-0.14098296202197058,True,False
600754,锦江酒店,2023-06-21,0.06,47.05,47.14,0.0012752391073326248,120,120,-0.37534537725823597,-0.3778107764106916,-0.1383699720913285,-0.23697540516690746,-0.2394408043193631,True,False
600754,锦江酒店,2024-07-12,0.5,23.12,22.98,0.02162629757785467,5,5,0.04757785467128018,0.032201914708442025,0.0191841322473989,0.02839372242388128,0.013017782461043126,True,False
600754,锦江酒店,2024-07-12,0.5,23.12,22.98,0.02162629757785467,20,20,0.04584775086505185,0.030461270670147922,-0.0405408246340212,0.08638857549907306,0.07100209530416912,True,False
600754,锦江酒店,2024-07-12,0.5,23.12,22.98,0.02162629757785467,60,60,0.2188581314878892,0.2045256744995647,0.11046938415234875,0.10838874733554046,0.09405629034721597,True,False
600754,锦江酒店,2024-07-12,0.5,23.12,22.98,0.02162629757785467,120,120,0.13581314878892736,0.12097476066144486,0.09123773435153382,0.044575414437393546,0.02973702630991104,True,False
600754,锦江酒店,2024-09-27,0.12,26.91,28.48,0.004459308807134894,5,5,0.04496469713861021,-0.016853932584269704,0.049540390178970384,-0.004575693040360172,-0.06639432276324009,True,False
600754,锦江酒店,2024-09-27,0.12,26.91,28.48,0.004459308807134894,20,20,-0.007432181345224797,-0.0663623595505618,0.05031070406905558,-0.057742885414280375,-0.11667306361961738,True,False
600754,锦江酒店,2024-09-27,0.12,26.91,28.48,0.004459308807134894,60,60,0.010776662950575963,-0.04915730337078661,0.07488379816318069,-0.06410713521260474,-0.1240411015339673,True,False
600754,锦江酒店,2024-09-27,0.12,26.91,28.48,0.004459308807134894,120,120,0.00706057227796363,-0.0526685393258427,0.04967998088390346,-0.04261940860593983,-0.10234852020974616,True,False
600754,锦江酒店,2025-08-01,0.38,22.59,22.26,0.016821602478972998,5,5,-0.0008853474988932968,-0.0031446540880503138,0.01234004343849171,-0.013225390937385006,-0.015484697526542024,False,False
600754,锦江酒店,2025-08-01,0.38,22.59,22.26,0.016821602478972998,20,20,0.04515272244355908,0.04357592093441154,0.10896121732341046,-0.06380849487985138,-0.06538529638899893,True,False
